Rank,Name,Symbol,Price,Volume_24h,Market_Cap,Circulating_Supply,Total_Supply,Max_Supply,Percent_Change_1h,Percent_Change_24h,Percent_Change_7d,Date_Added,Capture_Date
60,Novacoin,NVC,0.73647779,2730.03710938,1047386.78801036,1422156.64751,1422156.64751,,-0.306585,-3.10937,1.21528,2013-04-28T00:00:00.000Z,2024-09-23
61,WorldCoin,WDC,0.00900725,7007.23144531,945098.7363529,104926490.5,104926490.5,,-0.00825926,-8.83953,12.3648,2013-05-22T00:00:00.000Z,2024-09-23
62,Rise,RISE,0.00930034,30077.5390625,933883.73035343,100413985.0,100413985.0,,-2.77176,-7.81652,,2016-06-30T00:00:00.000Z,2024-09-23
63,Expanse,EXP,0.43997079,71559.9375,909040.94762744,2066139.31088261,12836414.0037312,100000000.0,-1.45001,-6.97675,69.6435,2015-09-15T00:00:00.000Z,2024-09-23
64,Jinn,JINN,14.93778992,642.32495117,876893.08149719,58703.0,1000000.0,,-0.0849467,,15.0428,2014-10-03T00:00:00.000Z,2024-09-23
65,Radium,RADS,0.30652741,2290.30712891,865628.49004126,2823984.0,2823984.0,9000000.0,-1.02541,-3.25921,12.3136,2016-01-18T00:00:00.000Z,2024-09-23
66,Startcoin,START,0.01901037,3151.69970703,856983.50326169,45079785.0,70782220.0,,1.29997,11.3164,18.1897,2014-06-15T00:00:00.000Z,2024-09-23
67,BoostCoin,BOST,0.07091574,3451.19067383,840740.68956007,11855487.1681898,11855487.1681898,,0.0964156,-6.16479,5.89902,2014-05-30T00:00:00.000Z,2024-09-23
68,Gulden,NLG,0.00264478,5139.17773438,825090.87966956,311969010.0,432338800.0,,-1.97542,-10.16,52.6918,2014-04-08T00:00:00.000Z,2024-09-23
69,Vertcoin,VTC,0.03530244,3009.37548828,814662.00213931,23076649.9975982,23076649.9975982,84000000.0,-1.03839,-8.9846,7.59875,2014-01-20T00:00:00.000Z,2024-09-23
70,HempCoin,HMP,0.00055914,3721.39111328,757444.73773657,1354661677.993,2854661677.993,,-0.622566,2.58146,160.811,2016-02-16T00:00:00.000Z,2024-09-23
71,DigitalNote,XDN,0.00010991,5106.79003906,754338.54369899,6862971075.87447,6862971075.87447,10000000000.0,0.688051,-5.96251,13.1282,2014-06-24T00:00:00.000Z,2024-09-23
72,Diamond,DMD,0.43364853,3068.33544922,726027.71452991,1674230.78802441,1674230.78802441,4380000.0,1.1007,8.36334,34.5044,2013-12-19T00:00:00.000Z,2024-09-23
73,Elcoin,EL,0.07690198,9479.88183594,702612.46642952,9136467.861614,20521348.861614,,-0.334593,-17.3054,138.054,2016-05-05T00:00:00.000Z,2024-09-23
74,BilShares,BILS,0.00069108,41913.82421875,691078.77789065,1000000000.0,1000000000.0,,0.0,-11.7723,2.0372,2014-08-25T00:00:00.000Z,2024-09-23
75,Nexus,NXS,0.01751159,1923.16650391,687123.60971763,39238216.41032,39238216.41032,78000000.0,32.9658,33.9142,74.0638,2015-01-25T00:00:00.000Z,2024-09-23
76,Megacoin,MEC,0.02023846,6276.74121094,664012.90412347,32809462.5,32809462.5,42000000.0,-0.0350556,-4.94074,1.76423,2013-07-07T00:00:00.000Z,2024-09-23
77,Wild Beast Block,WBB,0.36678883,1151.2166748,618971.74646311,1687542.5,1687542.5,,9.66722,-4.29606,49.4687,2015-02-28T00:00:00.000Z,2024-09-23
78,DNotes,NOTE,0.00541124,1389.07592773,600083.31620007,110895735.715132,110895735.715132,,0.484704,-11.3158,2.87903,2014-03-08T00:00:00.000Z,2024-09-23
79,Infinitecoin,IFC,6.61e-06,6701.375,599078.23841781,90596274910.0705,90596274910.0705,,2.30217,-1.58658,-11.4313,2013-07-10T00:00:00.000Z,2024-09-23
80,Curecoin,CURE,0.02251812,1834.28112793,595183.3797677,26431310.0,26431310.0,,-0.831773,12.6564,27.8781,2014-05-26T00:00:00.000Z,2024-09-23
81,ZcCoin,ZCC,0.00961236,11903.61328125,592669.81958988,61657043.890382,61657043.890382,,0.260099,-5.57594,3.62925,2014-08-05T00:00:00.000Z,2024-09-23
82,Qora,QORA,5.9e-05,2332.28564453,590009.65848099,10000000000.0,10000000000.0,,-0.77371,-8.38122,-0.340217,2014-05-26T00:00:00.000Z,2024-09-23
83,NuShares,NSR,0.00059207,8133.97607422,559264.72046373,944594842.0,944594842.0,,-1.3136,-21.5984,21.9275,2014-10-25T00:00:00.000Z,2024-09-23
84,UnionCoin,UNC,0.06610319,592.52685547,554513.75,8388608.0,8388608.0,,0.0,-3.11728,5.40812,2014-03-03T00:00:00.000Z,2024-09-23
85,Circuits of Value,COVAL,0.00135412,6867.58984375,541649.8053819,400000000.0,1000000000.0,,-2.24937,2.9949,37.2155,2015-01-23T00:00:00.000Z,2024-09-23
86,NavCoin,NAV,0.00854665,8096.62158203,509375.13424103,59599414.0216761,59599414.0216761,,1.27467,-31.6736,56.9617,2014-06-12T00:00:00.000Z,2024-09-23
87,Global Currency Reserve,GCR,0.00502001,1272.63720703,507659.50718752,101127212.820554,101127212.820554,,-0.824875,1.38383,-10.9289,2015-08-26T00:00:00.000Z,2024-09-23
88,Unobtanium,UNO,2.57097268,878.1439209,507060.87783413,197225.30759367,197225.30759367,,1.33353,0.820088,11.5648,2013-12-21T00:00:00.000Z,2024-09-23
89,VootCoin,VOOT,0.0072965,910.0088501,505506.03592892,69280656.2239512,69280656.2239512,,-0.85081,-9.52954,62.3678,2014-06-12T00:00:00.000Z,2024-09-23
90,Digitalcoin,DGC,0.01479694,2345.1940918,504673.00906994,34106578.0,34106578.0,48166000.0,-0.521339,-2.20774,7.96338,2013-06-09T00:00:00.000Z,2024-09-23
91,Crypti,XCR,0.00478711,972.92547607,478710.93265712,100000000.0,100000000.0,,-1.04208,-0.95949,61.3972,2014-08-07T00:00:00.000Z,2024-09-23
92,Anoncoin,ANC,0.21942566,3181.35986328,463057.67732729,2110316.862,2110316.862,,2.2366,-4.63771,7.21073,2013-07-15T00:00:00.000Z,2024-09-23
93,Applecoin,APC,0.02013143,7901.39794922,448649.92338166,22286047.937985,22286047.937985,,0.0,-3.8641,2.85123,2014-02-09T00:00:00.000Z,2024-09-23
