Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date,halving_survive
449,NFPrompt,NFP,$0.2387,0.37%,2.44%,22.42%,"$69,910,741","$10,444,026
43,787,278 NFP","292,859,589 NFP",1000000000.0,1000000000.0,0,,,,,,,393.0,2024-09-23,0
457,HashAI,HASHAI,$0.0007984,1.70%,15.28%,66.37%,"$67,512,409","$795,138
984,483,615 HASHAI","84,564,818,695 HASHAI",89719785186.0,100000000000.0,0,,,,,,,2928.0,2024-09-23,0
502,TokenFi,TOKEN,$0.05809,0.53%,0.16%,23.48%,"$58,088,275","$6,940,104
119,643,786 TOKEN","1,000,019,789 TOKEN",10000000000.0,10000000000.0,0,,,,,,,390.0,2024-09-23,0
521,LimeWire,LMWR,$0.181,1.15%,0.50%,10.54%,"$53,579,537","$3,636,741
20,093,317 LMWR","295,982,476 LMWR",633045269.0,,0,,,,,,,492.0,2024-09-23,0
522,PlatON,LAT,$0.008902,1.01%,2.71%,1.51%,"$53,414,654","$8,308,769
932,707,441 LAT","6,000,280,961 LAT",10250000000.0,,0,,,,,,,586.0,2024-09-23,0
524,PaLM AI,PALM,$0.679,1.52%,16.61%,66.10%,"$52,490,455","$955,568
1,404,254 PALM","77,300,000 PALM",77300000.0,,0,,,,,,,575.0,2024-09-23,0
526,Forta,FORT,$0.1222,0.31%,0.68%,5.03%,"$52,059,300","$1,019,648
8,339,602 FORT","425,900,172 FORT",1000000000.0,1000000000.0,0,,,,,,,433.0,2024-09-23,0
544,Agoras: Currency of Tau,AGRS,$1.62,0.28%,4.82%,46.35%,"$48,315,250","$341,166
207,347 AGRS","29,892,947 AGRS",42000000.0,,0,,,,,,,519.0,2024-09-23,0
554,Dimitra,DMTR,$0.09746,0.71%,10.60%,9.80%,"$47,412,886","$656,417
6,735,204 DMTR","486,503,182 DMTR",527018673.0,,0,,,,,,,483.0,2024-09-23,0
555,Virtuals Protocol,VIRTUAL,$0.04713,0.23%,15.78%,68.96%,"$47,131,097","$744,955
15,808,509 VIRTUAL","1,000,000,000 VIRTUAL",1000000000.0,1000000000.0,0,,,,,,,,2024-09-23,0
559,Streamr,DATA,$0.04345,0.90%,0.67%,30.11%,"$46,208,350","$6,597,725
152,450,588 DATA","1,063,403,853 DATA",1125323352.0,,0,,,,,,321.0,548.0,2024-09-23,1
566,Aleph.im,ALEPH,$0.1823,0.23%,0.98%,27.02%,"$45,071,692","$664,212
3,643,717 ALEPH","247,220,482 ALEPH",500000000.0,,0,,,,,,568.0,583.0,2024-09-23,1
569,Humans.ai,HEART,$0.007961,0.05%,1.69%,1.13%,"$44,500,389","$141,470
17,769,722 HEART","5,590,033,742 HEART",6254775694.0,7800000000.0,0,,,,,,,2836.0,2024-09-23,0
590,DIA,DIA,$0.3788,0.13%,0.95%,20.07%,"$41,899,718","$4,319,667
11,392,568 DIA","110,617,604 DIA",168817248.0,200000000.0,0,,,,,,198.0,587.0,2024-09-23,1
619,Cortex,CTXC,$0.1669,0.71%,0.73%,7.49%,"$37,373,108","$3,193,502
19,171,196 CTXC","223,983,303 CTXC",299792458.0,299792458.0,0,,,,,177.0,194.0,511.0,2024-09-23,1
623,DecideAI,DCD,$0.07525,1.12%,4.30%,4.54%,"$36,773,412","$328,818
4,377,569 DCD","488,677,471 DCD",981473305.19,1000000000.0,0,,,,,,,,2024-09-23,0
630,Verasity,VRA,$0.003589,0.71%,10.73%,23.21%,"$35,638,911","$9,574,867
2,676,111,668 VRA","9,930,514,635 VRA",98930514635.0,100249906818.0,0,,,,,495.0,899.0,557.0,2024-09-23,1
631,SIDUS,SIDUS,$0.003773,0.23%,1.38%,37.91%,"$35,302,845","$698,624
185,001,470 SIDUS","9,356,868,845 SIDUS",21352793618.35517,,0,,,,,,,481.0,2024-09-23,0
633,VIDT DAO,VIDT,$0.04188,2.57%,0.27%,2.18%,"$35,058,750","$3,407,663
81,331,518 VIDT","837,071,066 VIDT",1000000000.0,1000000000.0,0,,,,,,,770.0,2024-09-23,0
638,AIT Protocol,AIT,$0.1414,0.78%,48.35%,121.41%,"$34,173,002","$4,779,389
33,799,787 AIT","241,664,663 AIT",297604780.362663,,0,,,,,,,654.0,2024-09-23,0
640,Victoria VR,VR,$0.006377,0.48%,3.56%,3.38%,"$34,030,838","$6,054,992
949,583,029 VR","5,336,247,368 VR",16800000000.0,16800000000.0,0,,,,,,,405.0,2024-09-23,0
654,LinqAI,LNQ,$0.1727,0.75%,9.85%,25.53%,"$33,054,935","$1,994,302
11,550,761 LNQ","191,434,059 LNQ",977205163.3818364,,0,,,,,,,3089.0,2024-09-23,0
664,Measurable Data Token,MDT,$0.04682,0.07%,0.01%,23.04%,"$31,656,242","$5,000,075
106,825,631 MDT","676,157,013 MDT",1000000000.0,,0,,,,,462.0,509.0,591.0,2024-09-23,1
666,Sentinel Protocol,UPP,$0.06354,5.04%,18.42%,13.12%,"$31,630,260","$63,285,593
999,354,413 UPP","497,834,800 UPP",500000000.00000006,,0,,,,,370.0,562.0,639.0,2024-09-23,1
670,Numbers Protocol,NUM,$0.04636,0.23%,9.96%,20.13%,"$31,362,861","$569,122
12,278,437 NUM","676,474,220 NUM",686537204.0,1000000000.0,0,,,,,,,568.0,2024-09-23,0
675,Commune AI,COMAI,$0.3056,9.30%,85.35%,104.83%,"$30,789,194","$531,531
1,746,277 COMAI","100,735,860 COMAI",1000000000.0,1000000000.0,0,,,,,,,3505.0,2024-09-23,0
677,SelfKey,KEY,$0.005109,0.23%,0.85%,11.15%,"$30,654,945","$5,228,092
1,024,894,743 KEY","5,999,999,954 KEY",5999999954.464072,6000000000.0,0,,,,,,,682.0,2024-09-23,0
678,Graphlinq Chain,GLQ,$0.08795,1.68%,9.29%,69.25%,"$29,903,320","$1,945,105
21,839,160 GLQ","339,999,895 GLQ",650000000.0,,0,,,,,,,717.0,2024-09-23,0
682,Zero1 Labs,DEAI,$0.3211,3.87%,1.13%,112.77%,"$29,291,307","$4,702,426
14,395,669 DEAI","91,221,244 DEAI",1000000000.0,1000000000.0,0,,,,,,,614.0,2024-09-23,0
706,VAIOT,VAI,$0.08106,0.34%,7.03%,8.67%,"$27,946,540","$967,274
11,925,530 VAI","344,751,032 VAI",400000000.0,400000000.0,0,,,,,,,516.0,2024-09-23,0
721,PARSIQ,PRQ,$0.09967,0.32%,2.22%,2.19%,"$25,940,156","$1,382,038
13,864,649 PRQ","260,256,872 PRQ",310256872.0,500000000.0,0,,,,,,272.0,694.0,2024-09-23,1
741,Hacken Token,HAI,$0.03672,0.39%,2.59%,19.21%,"$23,685,197","$328,696
8,929,623 HAI","644,984,745 HAI",969984745.0,1000000000.0,0,,,,,,1294.0,680.0,2024-09-23,1
746,SingularityDAO,SDAO,$0.2817,0.95%,2.18%,2.83%,"$23,302,044","$328,979
1,168,552 SDAO","82,733,204 SDAO",100000000.0,100000000.0,0,,,,,,,592.0,2024-09-23,0
761,GT Protocol,GTAI,$0.622,2.39%,18.26%,45.22%,"$22,421,124","$5,337,733
8,612,123 GTAI","36,047,815 GTAI",75000000.0,,0,,,,,,,926.0,2024-09-23,0
779,SPECTRE AI,SPECTRE,$2.33,0.99%,18.28%,85.27%,"$21,164,262","$291,352
125,190 SPECTRE","9,093,998 SPECTRE",10000000.0,10000000.0,0,,,,,,,956.0,2024-09-23,0
794,Cere Network,CERE,$0.002788,0.17%,1.24%,10.28%,"$19,351,881","$384,763
137,959,687 CERE","6,939,923,952 CERE",10000000000.0,,0,,,,,,,659.0,2024-09-23,0
799,OORT,OORT,$0.09032,0.88%,6.10%,6.46%,"$19,180,568","$1,370,788
15,169,196 OORT","212,359,971 OORT",2000000000.0,,0,,,,,,,774.0,2024-09-23,0
