name,symbol,cmcRank,circulatingSupply,totalSupply,maxSupply,dateAdded,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d
Zilliqa,ZIL,97,10100023720.1279,13391490873.1279,21000000000.0,2018-01-25T00:00:00.000Z,0.00606542,11124175.0472218,61260853.6553815,0.434496,-2.5006,18.2826
ABBC Coin,ABBC,98,555416924.350722,1003278750.0109,,2018-10-12T00:00:00.000Z,0.10940207,25192571.8957719,60763761.74798596,-0.621006,-1.69001,-6.97667
Quant,QNT,99,12072738.0,14612493.0808262,,2018-08-10T00:00:00.000Z,5.01466732,3180864.52399971,60540764.65562538,-1.43023,-9.55238,-4.40951
Matic Network,MATIC,100,3433504398.0,10000000000.0,,2019-04-28T00:00:00.000Z,0.01713306,34278241.4302858,58826440.06088063,-0.591527,0.539295,9.21058
Seele-N,SEELE,101,699592066.289478,1000000000.0,,2018-05-31T00:00:00.000Z,0.08055094,13826272.2564874,56352799.87125292,0.103498,-1.77534,-10.0237
Terra,LUNA,102,287765804.430561,995859074.224591,,2019-07-26T00:00:00.000Z,0.19463638,1524607.06753249,56009695.59393527,-0.134804,-0.448141,-0.281527
BitShares,BTS,103,2746310000.0,2746310000.0,3600570502.0,2014-07-21T00:00:00.000Z,0.02036371,13154872.3672616,55925059.08967415,-0.0278882,-2.7969,12.1371
Ren,REN,104,852453284.124669,999999632.80375,,2018-02-21T00:00:00.000Z,0.06429137,1951642.60741608,54805385.48325694,-0.680466,-4.15838,0.604444
Sologenic,SOLO,105,200001808.0,399999808.28,400000000.0,2020-03-06T00:00:00.000Z,0.27268977,2501077.24919271,54538447.41190768,-0.213199,-1.57086,0.446076
Centrality,CENNZ,106,844921183.676512,1200000000.0,,2018-03-13T00:00:00.000Z,0.06234616,55742.15992941,52677592.81374545,0.090527,10.0876,10.522
Aave,LEND,107,1299999941.70317,1299999941.70317,,2017-11-30T00:00:00.000Z,0.04033406,1285488.39724678,52434270.07360241,-1.80913,-6.82888,9.31453
Horizen,ZEN,108,8987637.5,8987637.5,21000000.0,2017-06-01T00:00:00.000Z,5.82090226,4886374.69278639,52316159.46520032,0.374249,-4.99737,-5.1777
v.systems,VSYS,109,1984416346.0,3899274810.0,,2019-03-05T00:00:00.000Z,0.02628736,2967144.62416254,52165067.34094466,0.262559,0.343934,2.75529
Folgory Coin,FLG,110,15872257.83228,100000000.0,,2019-11-26T00:00:00.000Z,3.27292729,479155.48624124,51948745.79842426,-1.10999,-11.6877,4.13527
HyperCash,HC,111,44598664.177052,44598664.177052,84000000.0,2017-08-20T00:00:00.000Z,1.15416473,19774170.4905862,51474205.24019064,-0.268093,-1.88147,4.55808
Verge,XVG,112,16255947543.3634,16255947543.3634,16555000000.0,2014-10-25T00:00:00.000Z,0.00314561,1043869.96094372,51134798.23468872,-0.849133,-0.0134254,7.06257
Numeraire,NMR,113,2428890.84218286,10987470.162081,11000000.0,2017-06-23T00:00:00.000Z,20.97743045,1117131.94586353,50951888.70233153,-0.635103,-5.26266,-0.195455
NewYork Exchange,NYE,114,6207061.74948359,371740650.983972,600000000.0,2019-08-20T00:00:00.000Z,8.10031184,4326511.17045638,50279135.8034226,-0.17251,-2.50264,6.86607
Velas,VLX,115,1342809240.79873,2073891831.49873,,2019-10-03T00:00:00.000Z,0.03684098,917352.50667987,49470414.52192795,0.431359,14.7913,52.6114
