A,Ranking,Name,Token,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply,B,URL
,729,PARSIQ,PRQ,$0.1001,0.14%,0.24%,6.23%,"$26,046,880","$1,282,122
12,823,056 PRQ","260,256,872 PRQ",,https://coinmarketcap.com/currencies/parsiq/
,748,SingularityDAO,SDAO,$0.2949,0.19%,1.95%,4.71%,"$24,398,426","$341,660
1,157,244 SDAO","82,733,204 SDAO",,https://coinmarketcap.com/currencies/singularitydao/
,758,Hacken Token,HAI,$0.03652,0.01%,0.56%,22.63%,"$23,553,415","$228,608
6,264,656 HAI","644,984,745 HAI",,https://coinmarketcap.com/currencies/hackenai/
,786,SPECTRE AI,SPECTRE,$2.31,1.12%,3.40%,57.40%,"$21,020,083","$130,073
56,274 SPECTRE","9,093,998 SPECTRE",,https://coinmarketcap.com/currencies/spectre-ai/
,787,OORT,OORT,$0.09879,0.01%,8.33%,14.25%,"$20,979,012","$1,170,521
11,847,467 OORT","212,359,971 OORT",,https://coinmarketcap.com/currencies/oortech/
,798,Cere Network,CERE,$0.00287,2.20%,1.11%,11.12%,"$19,917,824","$355,128
123,521,202 CERE","6,939,923,952 CERE",,https://coinmarketcap.com/currencies/cere-network/
,799,zKML,ZKML,$0.2133,0.05%,9.90%,30.67%,"$19,915,501","$203,129
952,727 ZKML","93,376,600 ZKML",,https://coinmarketcap.com/currencies/zkml/
,845,Vectorspace AI,VXV,$0.35,1.28%,1.22%,13.48%,"$17,330,387","$68,090
193,719 VXV","49,517,054 VXV",,https://coinmarketcap.com/currencies/vectorspace-ai/
,844,Botto,BOTTO,$0.3636,0.05%,11.37%,15.11%,"$17,332,612","$226,632
623,330 BOTTO","47,666,809 BOTTO",,https://coinmarketcap.com/currencies/botto/
,856,Only1,LIKE,$0.05048,0.54%,2.90%,11.20%,"$16,716,038","$786,147
15,574,081 LIKE","331,159,918 LIKE",,https://coinmarketcap.com/currencies/only1/
,861,NuNet,NTX,$0.03265,1.23%,1.36%,13.12%,"$16,460,392","$69,118
2,120,766 NTX","504,084,665 NTX",,https://coinmarketcap.com/currencies/nunet/
,887,QnA3.AI,GPT,$0.09956,0.06%,0.97%,19.35%,"$15,307,342","$1,503,607
15,147,597 GPT","153,749,940 GPT",,https://coinmarketcap.com/currencies/qna3ai/
,899,Volt Inu,VOLT,$0.062698,0.73%,1.94%,16.89%,"$14,778,476","$78,874
290,858,982,534 VOLT","54,766,287,142,827 VOLT",,https://coinmarketcap.com/currencies/volt-inu-v2/
